1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
ID,provider,registration_location_code,data_year,Number of Physicians,female,male ,unk_sex,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70+,<25,age_unk,Canadian grads,Interntl grads,Grad location UNK,rural,urban,geo_unk
2023All physiciansPrince Edward Island,All physicians,Prince Edward Island,2023,373,143,230,0,7,43,33,45,33,36,33,32,29,29,,53,258,58,57,41,328,4
2023Family medicine physiciansPrince Edward Island,Family medicine physicians,Prince Edward Island,2023,205,87,118,0,7,20,14,17,20,21,25,16,13,16,,36,137,28,40,41,162,2
2023SpecialistsPrince Edward Island,Specialists,Prince Edward Island,2023,168,56,112,0,,23,19,28,13,15,8,16,16,13,,17,121,30,17,0,166,2
2023All physiciansQuebec,All physicians,Quebec,2023,23082,12311,10771,0,76,1990,3027,2525,2201,2014,2108,2203,1740,1898,,3300,18115,1640,3327,2063,21018,1
2023Family medicine physiciansQuebec,Family medicine physicians,Quebec,2023,11549,6881,4668,0,45,1003,1226,1000,902,914,984,1148,922,885,,2520,8312,692,2545,1776,9773,0
2023SpecialistsQuebec,Specialists,Quebec,2023,11533,5430,6103,0,31,987,1801,1525,1299,1100,1124,1055,818,1013,,780,9803,948,782,287,11245,1
2023All physiciansSaskatchewan,All physicians,Saskatchewan,2023,2677,1092,1585,0,90,330,355,390,359,324,270,232,156,165,,6,1337,1335,5,315,2361,1
2023Family medicine physiciansSaskatchewan,Family medicine physicians,Saskatchewan,2023,1431,633,798,0,84,167,141,213,209,175,145,120,79,92,,6,553,873,5,311,1119,1
2023SpecialistsSaskatchewan,Specialists,Saskatchewan,2023,1246,459,787,0,6,163,214,177,150,149,125,112,77,73,,,784,462,0,4,1242,0
2023All physiciansYukon,All physicians,Yukon,2023,92,48,44,0,1,10,16,12,10,7,8,9,7,12,,,77,15,0,11,81,0
2023Family medicine physiciansYukon,Family medicine physicians,Yukon,2023,75,38,37,0,1,8,12,10,9,4,7,8,7,9,,,61,14,0,11,64,0
2023SpecialistsYukon,Specialists,Yukon,2023,17,10,7,0,,2,4,2,1,3,1,1,,3,,,16,1,0,0,17,0
2024All physiciansAlberta,All physicians,Alberta,2024,11750,4956,6794,0,281,1489,1735,1772,1604,1390,1202,928,710,635,,4,7515,4235,0,793,10916,41
2024Family medicine physiciansAlberta,Family medicine physicians,Alberta,2024,5734,2659,3075,0,262,739,708,861,781,683,606,445,351,298,,,3114,2620,0,725,4980,29
2024SpecialistsAlberta,Specialists,Alberta,2024,6016,2297,3719,0,19,750,1027,911,823,707,596,483,359,337,,4,4401,1615,0,68,5936,12
2024All physiciansBritish Columbia,All physicians,British Columbia,2024,15460,6702,8758,0,513,2311,1985,2019,1601,1498,1488,1503,1234,1291,,17,10646,4803,11,757,14673,30
2024Family medicine physiciansBritish Columbia,Family medicine physicians,British Columbia,2024,7838,3710,4128,0,475,1198,726,940,813,746,780,885,655,612,,8,4964,2869,5,685,7139,14
2024SpecialistsBritish Columbia,Specialists,British Columbia,2024,7622,2992,4630,0,38,1113,1259,1079,788,752,708,618,579,679,,9,5682,1934,6,72,7534,16
2024All physiciansCanada,All physicians,Canada,2024,99555,45680,53875,0,,,,,,,,,,,,,69303,26169,4083,6957,92326,272
2024Family medicine physiciansCanada,Family medicine physicians,Canada,2024,49188,24951,24237,0,,,,,,,,,,,,,31635,14615,2938,6010,43034,144
2024SpecialistsCanada,Specialists,Canada,2024,50367,20729,29638,0,,,,,,,,,,,,,37668,11554,1145,947,49292,128
2024All physiciansManitoba,All physicians,Manitoba,2024,3357,1358,1999,0,125,503,446,456,394,353,344,267,239,218,,12,2214,1134,9,385,2961,11
2024Family medicine physiciansManitoba,Family medicine physicians,Manitoba,2024,1670,723,947,0,117,264,177,206,186,164,183,145,116,105,,7,940,724,6,341,1324,5
2024SpecialistsManitoba,Specialists,Manitoba,2024,1687,635,1052,0,8,239,269,250,208,189,161,122,123,113,,5,1274,410,3,44,1637,6
2024All physiciansNew Brunswick,All physicians,New Brunswick,2024,2214,946,1268,0,61,247,252,230,247,279,238,241,181,235,,3,1602,612,0,330,1882,2
2024Family medicine physiciansNew Brunswick,Family medicine physicians,New Brunswick,2024,1179,600,579,0,59,166,100,125,119,113,116,122,112,146,,1,945,234,0,303,875,1
2024SpecialistsNew Brunswick,Specialists,New Brunswick,2024,1035,346,689,0,2,81,152,105,128,166,122,119,69,89,,2,657,378,0,27,1007,1
2024All physiciansNewfoundland and Labrador,All physicians,Newfoundland and Labrador,2024,1421,644,777,0,56,184,191,192,182,167,141,116,107,83,,2,1024,397,0,291,1127,3
2024Family medicine physiciansNewfoundland and Labrador,Family medicine physicians,Newfoundland and Labrador,2024,662,333,329,0,54,96,64,92,70,92,61,45,43,44,,1,478,184,0,206,455,1
2024SpecialistsNewfoundland and Labrador,Specialists,Newfoundland and Labrador,2024,759,311,448,0,2,88,127,100,112,75,80,71,64,39,,1,546,213,0,85,672,2
2024All physiciansNorthwest Territories,All physicians,Northwest Territories,2024,51,33,18,0,1,6,6,7,5,6,4,6,3,7,,,38,13,0,11,40,0
2024Family medicine physiciansNorthwest Territories,Family medicine physicians,Northwest Territories,2024,39,27,12,0,1,5,4,5,4,4,4,5,3,4,,,29,10,0,11,28,0
2024SpecialistsNorthwest Territories,Specialists,Northwest Territories,2024,12,6,6,0,,1,2,2,1,2,,1,,3,,,9,3,0,0,12,0
2024All physiciansNova Scotia,All physicians,Nova Scotia,2024,2888,1295,1593,0,87,411,340,377,364,311,303,291,216,184,,4,2028,857,3,532,2328,28
2024Family medicine physiciansNova Scotia,Family medicine physicians,Nova Scotia,2024,1329,674,655,0,84,196,98,153,157,140,153,146,106,93,,3,924,403,2,353,964,12
2024SpecialistsNova Scotia,Specialists,Nova Scotia,2024,1559,621,938,0,3,215,242,224,207,171,150,145,110,91,,1,1104,454,1,179,1364,16
2024All physiciansNunavut,All physicians,Nunavut,2024,23,12,11,0,,2,5,3,,2,1,4,3,,,3,14,6,3,23,0,0
2024Family medicine physiciansNunavut,Family medicine physicians,Nunavut,2024,20,10,10,0,,1,3,3,,2,1,4,3,,,3,11,6,3,20,0,0
2024SpecialistsNunavut,Specialists,Nunavut,2024,3,2,1,0,,1,2,,,,,,,,,,3,0,0,3,0,0
2024All physiciansOntario,All physicians,Ontario,2024,35653,15753,19900,0,958,5038,4897,4510,3682,3871,3717,3252,2614,3088,,26,24502,11150,1,1446,34089,118
2024Family medicine physiciansOntario,Family medicine physicians,Ontario,2024,17304,8405,8899,0,920,2609,1784,2019,1896,1920,1870,1713,1215,1346,,12,11293,6010,1,1279,15967,58
2024SpecialistsOntario,Specialists,Ontario,2024,18349,7348,11001,0,38,2429,3113,2491,1786,1951,1847,1539,1399,1742,,14,13209,5140,0,167,18122,60
2024All physiciansPrince Edward Island,All physicians,Prince Edward Island,2024,377,147,230,0,2,42,39,47,35,33,35,28,26,33,,57,259,57,61,41,331,5
2024Family medicine physiciansPrince Edward Island,Family medicine physicians,Prince Edward Island,2024,211,93,118,0,2,18,17,22,20,16,23,17,14,18,,44,136,27,48,41,167,3
2024SpecialistsPrince Edward Island,Specialists,Prince Edward Island,2024,166,54,112,0,,24,22,25,15,17,12,11,12,15,,13,123,30,13,0,164,2
2024All physiciansQuebec,All physicians,Quebec,2024,23562,12665,10897,0,16,1615,2979,2700,2215,2071,2055,2204,1738,1983,,3986,17952,1620,3990,2072,21477,13
2024Family medicine physiciansQuebec,Family medicine physicians,Quebec,2024,11701,7050,4651,0,14,836,1243,1033,914,891,944,1146,888,928,,2864,8164,668,2869,1775,9920,6
2024SpecialistsQuebec,Specialists,Quebec,2024,11861,5615,6246,0,2,779,1736,1667,1301,1180,1111,1058,850,1055,,1122,9788,952,1121,297,11557,7
2024All physiciansSaskatchewan,All physicians,Saskatchewan,2024,2709,1123,1586,0,55,358,350,388,360,314,284,252,164,174,,10,1433,1271,5,265,2423,21
2024Family medicine physiciansSaskatchewan,Family medicine physicians,Saskatchewan,2024,1429,631,798,0,53,188,123,201,197,179,157,142,90,91,,8,578,847,4,260,1154,15
2024SpecialistsSaskatchewan,Specialists,Saskatchewan,2024,1280,492,788,0,2,170,227,187,163,135,127,110,74,83,,2,855,424,1,5,1269,6
2024All physiciansYukon,All physicians,Yukon,2024,90,46,44,0,,8,15,9,13,8,8,8,7,14,,,76,14,0,11,79,0
2024Family medicine physiciansYukon,Family medicine physicians,Yukon,2024,72,36,36,0,,6,11,7,11,5,7,7,7,11,,,59,13,0,11,61,0
2024SpecialistsYukon,Specialists,Yukon,2024,18,10,8,0,,2,4,2,2,3,1,1,,3,,,17,1,0,0,18,0
